DATE,TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,UNIQUE KEY,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
01/05/2016,19:45,BROOKLYN,11208,40.6667077,-73.8718221,"(40.6667077, -73.8718221)",LINDEN BOULEVARD                ,FOUNTAIN AVENUE                 ,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3366096,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
01/05/2016,19:41,QUEENS,11355,40.7575232,-73.8291338,"(40.7575232, -73.8291338)",MAIN STREET                     ,41 ROAD                         ,,0,0,0,0,0,0,0,0,Fatigued/Drowsy,Unspecified,,,,3366276,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
01/05/2016,19:40,,,40.699718,-73.961813,"(40.699718, -73.961813)",,,,1,0,0,0,0,0,1,0,Fatigued/Drowsy,Unspecified,,,,3365503,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
01/05/2016,19:40,,,40.7388623,-73.7397269,"(40.7388623, -73.7397269)",,,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,Unspecified,,,3366209,PASSENGER VEHICLE,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,
01/05/2016,19:40,QUEENS,11369,40.7609092,-73.8729368,"(40.7609092, -73.8729368)",96 STREET                       ,30 AVENUE                       ,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3370396,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
01/05/2016,19:35,QUEENS,11102,40.7661526,-73.9197778,"(40.7661526, -73.9197778)",33 STREET                       ,30 AVENUE                       ,,1,0,0,0,0,0,1,0,Fatigued/Drowsy,Unspecified,Unspecified,,,3366330,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,
01/05/2016,19:35,QUEENS,11378,40.7244289,-73.914871,"(40.7244289, -73.914871)",56 DRIVE                        ,56 STREET                       ,,0,0,0,0,0,0,0,0,Brakes Defective,Unspecified,,,,3366247,PASSENGER VEHICLE,SMALL COM VEH(4 TIRES) ,,,
01/05/2016,19:35,QUEENS,11361,40.7689749,-73.7737601,"(40.7689749, -73.7737601)",BELL BOULEVARD                  ,35 AVENUE                       ,,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Unspecified,,,,3365682,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
01/05/2016,19:33,QUEENS,11436,40.680026,-73.7946162,"(40.680026, -73.7946162)",146 STREET                      ,FOCH BOULEVARD                  ,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3366317,SPORT UTILITY / STATION WAGON,VAN,,,
01/05/2016,19:30,QUEENS,11429,40.7144019,-73.7380208,"(40.7144019, -73.7380208)",101 AVENUE                      ,218 STREET                      ,,1,0,0,0,0,0,1,0,Pavement Slippery,,,,,3366208,SPORT UTILITY / STATION WAGON,,,,
01/05/2016,19:30,BROOKLYN,11216,40.6792812,-73.9430934,"(40.6792812, -73.9430934)",SAINT ANDREWS PLACE             ,HERKIMER STREET                 ,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3365462,SPORT UTILITY / STATION WAGON,UNKNOWN,,,
01/05/2016,19:30,BROOKLYN,11215,40.6661587,-73.9953068,"(40.6661587, -73.9953068)",3 AVENUE                        ,17 STREET                       ,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3365393,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
01/05/2016,19:26,,,,,,BRUCKNER BOULEVARD              ,EAST 138 STREET                 ,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3365886,TAXI,PASSENGER VEHICLE,,,
01/05/2016,19:25,BROOKLYN,11201,40.687993,-73.9896117,"(40.687993, -73.9896117)",SMITH STREET                    ,PACIFIC STREET                  ,,1,0,0,0,0,0,1,0,Unsafe Speed,Unspecified,,,,3365482,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
01/05/2016,19:25,,,,,,LIBERTY AVENUE                  ,VAN WYCK EXPRESSWAY             ,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,3365534,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
01/05/2016,19:16,MANHATTAN,10024,40.7831606,-73.9804719,"(40.7831606, -73.9804719)",WEST 78 STREET                  ,BROADWAY                        ,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3365845,LIVERY VEHICLE,TAXI,,,
01/05/2016,19:06,MANHATTAN,10019,40.7630248,-73.9781387,"(40.7630248, -73.9781387)",WEST 55 STREET                  ,AVENUE OF THE AMERICAS          ,,0,0,0,0,0,0,0,0,Backing Unsafely,Outside Car Distraction,Unspecified,,,3365831,PASSENGER VEHICLE,PASSENGER VEHICLE,UNKNOWN,,
01/05/2016,19:05,QUEENS,11101,40.7530285,-73.9216199,"(40.7530285, -73.9216199)",NORTHERN BOULEVARD              ,42 STREET                       ,,1,0,0,0,0,0,1,0,Driver Inattention/Distraction,Unspecified,Unspecified,Unspecified,,3366331,PASSENGER VEHICLE,PASSENGER VEHICLE,TAXI,SPORT UTILITY / STATION WAGON,
01/05/2016,19:00,QUEENS,11354,40.7683283,-73.8076112,"(40.7683283, -73.8076112)",157 STREET                      ,33 AVENUE                       ,,1,0,0,0,0,0,1,0,Other Electronic Device,Unspecified,Unspecified,,,3366263,PASSENGER VEHICLE,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,
01/05/2016,19:00,,,40.7303695,-73.9138714,"(40.7303695, -73.9138714)",,,,0,0,0,0,0,0,0,0,Outside Car Distraction,Fatigued/Drowsy,Unspecified,,,3366241,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,,
01/05/2016,19:00,QUEENS,11102,40.7657317,-73.9264388,"(40.7657317, -73.9264388)",CRESCENT STREET                 ,31 AVENUE                       ,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3366335,PASSENGER VEHICLE,TAXI,,,
01/05/2016,19:00,BROOKLYN,11238,40.6792042,-73.9552939,"(40.6792042, -73.9552939)",ATLANTIC AVENUE                 ,FRANKLIN AVENUE                 ,,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Failure to Yield Right-of-Way,,,,3366113,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
01/05/2016,19:00,BROOKLYN,11219,40.6364547,-74.000526,"(40.6364547, -74.000526)",53 STREET                       ,FT HAMILTON PARKWAY             ,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3365334,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
01/05/2016,19:00,BROOKLYN,11215,40.6561436,-73.9772979,"(40.6561436, -73.9772979)",PROSPECT AVENUE                 ,11 AVENUE                       ,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3365392,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
01/05/2016,18:58,QUEENS,11374,40.7325834,-73.8680511,"(40.7325834, -73.8680511)",ELIOT AVENUE                    ,QUEENS BOULEVARD                ,,0,0,0,0,0,0,0,0,Prescription Medication,Prescription Medication,,,,3365693,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
01/05/2016,18:55,,,40.8448058,-73.8371912,"(40.8448058, -73.8371912)",,,,1,0,0,0,0,0,1,0,Physical Disability,,,,,3365958,LARGE COM VEH(6 OR MORE TIRES),,,,
01/05/2016,18:55,,,40.7291801,-73.8789756,"(40.7291801, -73.8789756)",,,,1,0,0,0,0,0,1,0,Fatigued/Drowsy,Traffic Control Disregarded,,,,3366200,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
01/05/2016,18:55,BRONX,10465,40.8245695,-73.8390967,"(40.8245695, -73.8390967)",BRUSH AVENUE                    ,LAFAYETTE AVENUE                ,,1,0,1,0,0,0,0,0,Unspecified,,,,,3365242,PASSENGER VEHICLE,,,,
01/05/2016,18:50,MANHATTAN,10035,40.8043758,-73.9374202,"(40.8043758, -73.9374202)",EAST 125 STREET                 ,LEXINGTON AVENUE                ,,0,0,0,0,0,0,0,0,Fatigued/Drowsy,Fatigued/Drowsy,Unspecified,,,3365858,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,
01/05/2016,18:50,BROOKLYN,11220,40.6339615,-74.0147538,"(40.6339615, -74.0147538)",7 AVENUE                        ,65 STREET                       ,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3366032,SMALL COM VEH(4 TIRES) ,PASSENGER VEHICLE,,,
01/05/2016,18:50,BRONX,10465,40.8461505,-73.8183377,"(40.8461505, -73.8183377)",LIBRARY AVENUE                  ,AMPERE AVENUE                   ,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3365243,UNKNOWN,UNKNOWN,,,
01/05/2016,18:45,BROOKLYN,11208,40.6761116,-73.867258,"(40.6761116, -73.867258)",LINCOLN AVENUE                  ,PITKIN AVENUE                   ,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3365425,UNKNOWN,PASSENGER VEHICLE,,,
01/05/2016,18:40,,,,,,BROADWAY                        ,WEST 233 STREET                 ,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3366578,BUS,SPORT UTILITY / STATION WAGON,,,
01/05/2016,18:39,,,,,,ROOSEVELT AVENUE                ,COLLEGE POINT BOULEVARD         ,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3366265,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
01/05/2016,18:35,,,40.5839075,-73.9859849,"(40.5839075, -73.9859849)",,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3365284,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
01/05/2016,18:30,QUEENS,11432,40.7046972,-73.796798,"(40.7046972, -73.796798)",163 STREET                      ,JAMAICA AVENUE                  ,,1,0,1,0,0,0,0,0,Unspecified,,,,,3365541,BUS,,,,
01/05/2016,18:30,BROOKLYN,11212,40.6546749,-73.9170395,"(40.6546749, -73.9170395)",CHURCH AVENUE                   ,EAST 94 STREET                  ,,1,0,1,0,0,0,0,0,Unspecified,,,,,3366024,UNKNOWN,,,,
01/05/2016,18:30,,,40.7676137,-73.9499947,"(40.7676137, -73.9499947)",,,,0,0,0,0,0,0,0,0,Fatigued/Drowsy,Fatigued/Drowsy,,,,3365834,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
01/05/2016,18:30,,,40.7090991,-73.9962116,"(40.7090991, -73.9962116)",,,,0,0,0,0,0,0,0,0,Fatigued/Drowsy,Unspecified,,,,3366397,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
01/05/2016,18:30,MANHATTAN,10036,40.7573878,-73.9822554,"(40.7573878, -73.9822554)",AVENUE OF THE AMERICAS          ,WEST 46 STREET                  ,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,3365830,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
01/05/2016,18:30,MANHATTAN,10018,40.7546882,-73.9953547,"(40.7546882, -73.9953547)",9 AVENUE                        ,WEST 36 STREET                  ,,0,0,0,0,0,0,0,0,Prescription Medication,Unspecified,,,,3365792,BUS,BUS,,,
01/05/2016,18:30,MANHATTAN,10016,40.7440912,-73.9763477,"(40.7440912, -73.9763477)",EAST 33 STREET                  ,2 AVENUE                        ,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3365112,PASSENGER VEHICLE,TAXI,,,
01/05/2016,18:30,BROOKLYN,11238,40.6821623,-73.9605956,"(40.6821623, -73.9605956)",FULTON STREET                   ,DOWNING STREET                  ,,0,0,0,0,0,0,0,0,Fatigued/Drowsy,Unspecified,,,,3365491,TAXI,SPORT UTILITY / STATION WAGON,,,
01/05/2016,18:25,,,,,,INNIS STREET                    ,JOHN STREET                     ,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3366362,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
01/05/2016,9:58,MANHATTAN,10036,40.758981,-73.9959428,"(40.758981, -73.9959428)",10 AVENUE                       ,WEST 41 STREET                  ,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,Unspecified,,,3365790,SMALL COM VEH(4 TIRES) ,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,
01/05/2016,9:50,QUEENS,11415,40.7089251,-73.8187622,"(40.7089251, -73.8187622)",138 STREET                      ,QUEENS BOULEVARD                ,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,3365602,SMALL COM VEH(4 TIRES) ,PASSENGER VEHICLE,,,
01/05/2016,9:50,MANHATTAN,10034,40.8644625,-73.9189434,"(40.8644625, -73.9189434)",WEST 207 STREET                 ,10 AVENUE                       ,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3365177,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
01/05/2016,9:50,BRONX,10472,40.8285818,-73.8791708,"(40.8285818, -73.8791708)",ELDER AVENUE                    ,WESTCHESTER AVENUE              ,,0,0,0,0,0,0,0,0,View Obstructed/Limited,,,,,3365217,PASSENGER VEHICLE,,,,
01/05/2016,9:48,QUEENS,11421,40.6858944,-73.8652337,"(40.6858944, -73.8652337)",75 STREET                       ,91 AVENUE                       ,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,3365531,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
01/05/2016,9:45,,,40.7139775,-73.9530878,"(40.7139775, -73.9530878)",,,,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Unspecified,,,,3365504,PASSENGER VEHICLE,OTHER,,,
01/05/2016,9:45,QUEENS,11355,40.757649,-73.8251846,"(40.757649, -73.8251846)",SANFORD AVENUE                  ,UNION STREET                    ,,0,0,0,0,0,0,0,0,Backing Unsafely,Unspecified,,,,3366268,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
01/05/2016,9:45,BROOKLYN,11206,40.6948811,-73.9404116,"(40.6948811, -73.9404116)",WILLOUGHBY AVENUE               ,MARCUS GARVEY BOULEVARD         ,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3365460,PASSENGER VEHICLE,UNKNOWN,,,
01/05/2016,9:45,BRONX,10451,40.8193582,-73.918283,"(40.8193582, -73.918283)",EAST 153 STREET                 ,COURTLANDT AVENUE               ,,0,0,0,0,0,0,0,0,Lost Consciousness,Unspecified,,,,3365182,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
01/05/2016,9:40,BROOKLYN,11204,40.6209138,-73.9752963,"(40.6209138, -73.9752963)",BAY PARKWAY                     ,MC DONALD AVENUE                ,,1,0,0,0,0,0,1,0,Unspecified,Unspecified,,,,3366017,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
01/05/2016,9:40,QUEENS,11691,40.6095362,-73.7537175,"(40.6095362, -73.7537175)",BEACH CHANNEL DRIVE             ,HASSOCK STREET                  ,,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Unspecified,,,,3365514,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
01/05/2016,9:38,QUEENS,11369,40.7669901,-73.8846038,"(40.7669901, -73.8846038)",85 STREET                       ,23 AVENUE                       ,,1,0,1,0,0,0,0,0,Unspecified,,,,,3365716,BUS,,,,
01/05/2016,9:38,,,,,,,,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3365567,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
01/05/2016,9:38,BRONX,10467,40.8822201,-73.8804583,"(40.8822201, -73.8804583)",EAST GUN HILL ROAD              ,DEKALB AVENUE                   ,,0,0,0,0,0,0,0,0,View Obstructed/Limited,Unspecified,,,,3365976,AMBULANCE,PASSENGER VEHICLE,,,
01/05/2016,9:36,BRONX,10453,40.85214,-73.9206971,"(40.85214, -73.9206971)",HARLEM RIVER PARK BRIDGE        ,SEDGWICK AVENUE                 ,,0,0,0,0,0,0,0,0,Lost Consciousness,Unspecified,,,,3365249,BUS,BUS,,,
01/05/2016,9:33,BROOKLYN,11226,40.6408275,-73.9504192,"(40.6408275, -73.9504192)",EAST 28 STREET                  ,AVENUE D                        ,,0,0,0,0,0,0,0,0,Other Electronic Device,Unspecified,,,,3366022,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
01/05/2016,9:30,,,,,,HILLSIDE AVENUE                 ,148 STREET                      ,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3365603,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
01/05/2016,9:30,QUEENS,11423,40.7183558,-73.7653967,"(40.7183558, -73.7653967)",HILLSIDE AVENUE                 ,197 STREET                      ,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,3365598,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
01/05/2016,9:30,BRONX,10461,40.8470622,-73.8490724,"(40.8470622, -73.8490724)",WILLIAMSBRIDGE ROAD             ,PIERCE AVENUE                   ,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3365956,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
01/05/2016,9:25,BROOKLYN,11209,40.6348371,-74.0293567,"(40.6348371, -74.0293567)",RIDGE BOULEVARD                 ,71 STREET                       ,,0,0,0,0,0,0,0,0,Other Vehicular,Unspecified,,,,3365352,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
01/05/2016,9:23,BROOKLYN,11209,40.6271022,-74.029573,"(40.6271022, -74.029573)",3 AVENUE                        ,81 STREET                       ,,0,0,0,0,0,0,0,0,Backing Unsafely,Unspecified,,,,3365354,SPORT UTILITY / STATION WAGON,LARGE COM VEH(6 OR MORE TIRES),,,
01/05/2016,9:20,,,,,,,,PL OF 2800 VICTORY BLVD                ,1,0,0,0,0,0,1,0,Unspecified,Unspecified,Unspecified,,,3365738,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,
01/05/2016,9:20,,,,,,,,,0,0,0,0,0,0,0,0,Fatigued/Drowsy,Unspecified,,,,3365218,LARGE COM VEH(6 OR MORE TIRES),SMALL COM VEH(4 TIRES) ,,,
01/05/2016,9:20,BROOKLYN,11218,40.6411859,-73.9857094,"(40.6411859, -73.9857094)",38 STREET                       ,13 AVENUE                       ,,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Unspecified,,,,3365327,SPORT UTILITY / STATION WAGON,BICYCLE,,,
01/05/2016,9:18,BRONX,10458,40.8770122,-73.881849,"(40.8770122, -73.881849)",EAST MOSHOLU PARKWAY NORTH      ,STEUBEN AVENUE                  ,,0,0,0,0,0,0,0,0,Unspecified,,,,,3365975,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
01/05/2016,9:15,,,,,,JAMAICA AVENUE                  ,104 STREET                      ,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3365532,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
01/05/2016,9:15,,,,,,HILLSIDE AVENUE                 ,148 STREET                      ,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3365540,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
01/05/2016,9:15,QUEENS,11367,40.7208288,-73.8238382,"(40.7208288, -73.8238382)",77 AVENUE                       ,137 STREET                      ,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,3365600,BUS,SPORT UTILITY / STATION WAGON,,,
01/05/2016,9:15,QUEENS,11105,40.776832,-73.9116952,"(40.776832, -73.9116952)",DITMARS BOULEVARD               ,29 STREET                       ,,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Unspecified,,,,3365710,VAN,PASSENGER VEHICLE,,,
01/05/2016,9:15,BROOKLYN,11212,40.6575375,-73.9027454,"(40.6575375, -73.9027454)",NEW LOTS AVENUE                 ,CHRISTOPHER AVENUE              ,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3365403,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
01/05/2016,9:14,BROOKLYN,11216,40.680859,-73.9544023,"(40.680859, -73.9544023)",SPENCER PLACE                   ,FULTON STREET                   ,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3365459,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
01/05/2016,9:04,BROOKLYN,11224,40.5820191,-73.9711345,"(40.5820191, -73.9711345)",WEST AVENUE                     ,WEST 5 STREET                   ,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3365278,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
01/05/2016,9:00,QUEENS,11413,40.6656356,-73.7581495,"(40.6656356, -73.7581495)",SOUTH CONDUIT AVENUE            ,SPRINGFIELD BOULEVARD           ,,1,0,0,0,0,0,1,0,Unspecified,Unspecified,,,,3365570,SMALL COM VEH(4 TIRES) ,PASSENGER VEHICLE,,,
01/05/2016,9:00,,,40.7381194,-73.7972905,"(40.7381194, -73.7972905)",,,,0,0,0,0,0,0,0,0,Fatigued/Drowsy,Unspecified,Unspecified,,,3365597,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,
01/05/2016,9:00,,,40.7353396,-73.916885,"(40.7353396, -73.916885)",,,,0,0,0,0,0,0,0,0,Obstruction/Debris,,,,,3365631,SPORT UTILITY / STATION WAGON,,,,
01/05/2016,9:00,,,40.6212504,-74.1688765,"(40.6212504, -74.1688765)",,,,0,0,0,0,0,0,0,0,Turning Improperly,Unspecified,,,,3365739,LARGE COM VEH(6 OR MORE TIRES),PASSENGER VEHICLE,,,
01/05/2016,9:00,BROOKLYN,11208,40.6717374,-73.868139,"(40.6717374, -73.868139)",BLAKE AVENUE                    ,HEMLOCK STREET                  ,,0,0,0,0,0,0,0,0,Unspecified,,,,,3367714,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
01/05/2016,18:25,BRONX,10473,40.8208801,-73.8666946,"(40.8208801, -73.8666946)",LAFAYETTE AVENUE                ,ROSEDALE AVENUE                 ,,0,0,0,0,0,0,0,0,Backing Unsafely,Backing Unsafely,,,,3365221,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
01/05/2016,18:22,BROOKLYN,11204,40.6153586,-73.976224,"(40.6153586, -73.976224)",60 STREET                       ,23 AVENUE                       ,,1,0,0,0,1,0,0,0,Unspecified,Unspecified,,,,3365333,PASSENGER VEHICLE,BICYCLE,,,
01/05/2016,18:20,QUEENS,11366,40.7331298,-73.7830252,"(40.7331298, -73.7830252)",188 STREET                      ,73 AVENUE                       ,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3366235,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
01/05/2016,18:20,BROOKLYN,11234,40.6195715,-73.9335375,"(40.6195715, -73.9335375)",FLATBUSH AVENUE                 ,AVENUE P                        ,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3365309,VAN,PASSENGER VEHICLE,,,
01/05/2016,18:18,,,40.5873268,-73.9917255,"(40.5873268, -73.9917255)",,,,0,0,0,0,0,0,0,0,Fatigued/Drowsy,Unspecified,,,,3365987,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
01/05/2016,18:15,,,40.7388442,-73.8140362,"(40.7388442, -73.8140362)",,,,0,0,0,0,0,0,0,0,Outside Car Distraction,Fatigued/Drowsy,,,,3366286,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
01/05/2016,18:15,,,40.7388442,-73.8140362,"(40.7388442, -73.8140362)",,,,0,0,0,0,0,0,0,0,Fatigued/Drowsy,Unspecified,,,,3366287,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
01/05/2016,18:15,QUEENS,11364,40.731779,-73.7701087,"(40.731779, -73.7701087)",UNION TURNPIKE                  ,FRANCIS LEWIS BOULEVARD         ,,0,0,0,0,0,0,0,0,Unspecified,,,,,3366233,VAN,SPORT UTILITY / STATION WAGON,,,
01/05/2016,18:15,BROOKLYN,11223,40.6027485,-73.9639124,"(40.6027485, -73.9639124)",AVENUE S                        ,EAST 8 STREET                   ,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3365295,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
01/05/2016,18:07,BROOKLYN,11213,40.6677706,-73.9451291,"(40.6677706, -73.9451291)",PRESIDENT STREET                ,BROOKLYN AVENUE                 ,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3366061,PASSENGER VEHICLE,UNKNOWN,,,
01/05/2016,18:05,,,,,,EAST 175 STREET                 ,PARK AVENUE                     ,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3365950,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
01/05/2016,18:05,QUEENS,11413,40.6664524,-73.757631,"(40.6664524, -73.757631)",SPRINGFIELD BOULEVARD           ,NORTH CONDUIT AVENUE            ,,0,0,0,0,0,0,0,0,Fatigued/Drowsy,Fatigued/Drowsy,,,,3365576,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
01/05/2016,18:04,BRONX,10467,40.8817129,-73.8810126,"(40.8817129, -73.8810126)",DEKALB AVENUE                   ,EAST 212 STREET                 ,,0,0,0,0,0,0,0,0,Unspecified,,,,,3365981,PASSENGER VEHICLE,SMALL COM VEH(4 TIRES) ,,,
01/05/2016,18:03,BROOKLYN,11230,40.633111,-73.9721609,"(40.633111, -73.9721609)",OCEAN PARKWAY                   ,18 AVENUE                       ,,0,0,0,0,0,0,0,0,Turning Improperly,Turning Improperly,,,,3366050,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
01/05/2016,18:00,,,,,,MADISON AVENUE                  ,EAST 135 STREET                 ,,2,0,0,0,0,0,2,0,Unspecified,Unspecified,,,,3365857,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
01/05/2016,15:50,BRONX,10462,40.8515892,-73.8678006,"(40.8515892, -73.8678006)",BRONX PARK EAST                 ,UNIONPORT ROAD                  ,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3365955,PASSENGER VEHICLE,MOTORCYCLE,,,
01/05/2016,15:40,,,40.7227716,-73.8362427,"(40.7227716, -73.8362427)",,,,1,0,0,0,0,0,1,0,Unspecified,Unspecified,,,,3367364,SPORT UTILITY / STATION WAGON,BUS,,,
01/05/2016,15:40,BRONX,10472,40.8284182,-73.860674,"(40.8284182, -73.860674)",WHITE PLAINS ROAD               ,WATSON AVENUE                   ,,1,0,0,0,0,0,1,0,Prescription Medication,Prescription Medication,,,,3365224,LIVERY VEHICLE,PASSENGER VEHICLE,,,
