DATE,TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,UNIQUE KEY,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
01/05/2016,8:25,BRONX,10459,40.8163185,-73.8962127,"(40.8163185, -73.8962127)",LONGWOOD AVENUE                 ,SOUTHERN BOULEVARD              ,,0,0,0,0,0,0,0,0,Other Vehicular,Fatigued/Drowsy,,,,3365199,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
01/05/2016,8:24,BROOKLYN,11205,40.692778,-73.9576793,"(40.692778, -73.9576793)",FRANKLIN AVENUE                 ,WILLOUGHBY AVENUE               ,,1,0,0,0,0,0,1,0,Driver Inattention/Distraction,Unspecified,,,,3365458,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
01/05/2016,8:23,,,,,,CROSS BRONX EXPRESSWAY SVC RD S ,3 AVENUE                        ,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3365947,OTHER,PASSENGER VEHICLE,,,
01/05/2016,8:22,BROOKLYN,11203,40.6545266,-73.9441633,"(40.6545266, -73.9441633)",BROOKLYN AVENUE                 ,LENOX ROAD                      ,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3365345,SPORT UTILITY / STATION WAGON,UNKNOWN,,,
01/05/2016,8:20,,,,,,CROSS BRONX EXPRESSWAY SVC RD S ,NELSON AVENUE                   ,,1,0,0,0,0,0,1,0,Driver Inattention/Distraction,Unspecified,,,,3365247,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
01/05/2016,8:20,QUEENS,11106,40.7603501,-73.942443,"(40.7603501, -73.942443)",37 AVENUE                       ,9 STREET                        ,,1,0,1,0,0,0,0,0,Driver Inattention/Distraction,,,,,3365712,SPORT UTILITY / STATION WAGON,,,,
01/05/2016,8:20,MANHATTAN,10027,40.8096398,-73.9478407,"(40.8096398, -73.9478407)",7 AVENUE                        ,WEST 126 STREET                 ,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3365158,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
01/05/2016,8:20,BROOKLYN,11236,40.6465718,-73.8961633,"(40.6465718, -73.8961633)",FLATLANDS AVENUE                ,EAST 103 STREET                 ,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3365365,PASSENGER VEHICLE,UNKNOWN,,,
01/05/2016,8:20,BRONX,10456,40.8365055,-73.9053496,"(40.8365055, -73.9053496)",PARK AVENUE                     ,SAINT PAULS PLACE               ,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3365204,PASSENGER VEHICLE,UNKNOWN,,,
01/05/2016,8:15,,,,,,168 STREET                      ,GRAND CENTRAL PARKWAY           ,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3365595,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
01/05/2016,8:10,BROOKLYN,11213,40.6732579,-73.9306974,"(40.6732579, -73.9306974)",PROSPECT PLACE                  ,UTICA AVENUE                    ,,1,0,1,0,0,0,0,0,Driver Inattention/Distraction,,,,,3366109,LIVERY VEHICLE,,,,
